YYYYMM,Total Primary Energy Consumption (Quadrillion BTU)
200601,8.815156
200602,8.190394
200603,8.584244
200604,7.709121
200605,7.956158
200606,8.146008
200607,8.632076
200608,8.731219
200609,7.785711
200610,8.019633
200611,8.028285
200612,8.793257
200701,9.217747
200702,8.750787
200703,8.555085
200704,7.915909
200705,8.013514
200706,8.090308
200707,8.48321
200708,8.8124
200709,7.933632
200710,7.964483
200711,8.074134
200712,9.081762
200801,9.410223
200802,8.649687
200803,8.584242
200804,7.832002
200805,7.889757
200806,8.036547
200807,8.411818
200808,8.211733
200809,7.348739
200810,7.779769
200811,7.80505
200812,8.793516
200901,9.126286
200902,7.866518
200903,8.045425
200904,7.334307
200905,7.28013
200906,7.530481
200907,7.807503
200908,7.955069
200909,7.263586
200910,7.463259
200911,7.437884
200912,8.830931
201001,9.121933
201002,8.200719
201003,8.189356
201004,7.3615
201005,7.665728
201006,7.997903
201007,8.36606
201008,8.43051
201009,7.682088
201010,7.48957
201011,7.78597
201012,9.220375
201101,9.286555
201102,8.096615
201103,8.324754
201104,7.485909
201105,7.568806
201106,7.879549
201107,8.370638
201108,8.394546
201109,7.551652
201110,7.565361
201111,7.775258
201112,8.568405
201201,8.665994
201202,7.954118
201203,7.662981
201204,7.204799
201205,7.599486
201206,7.72345
201207,8.285023
201208,8.219988
201209,7.358432
201210,7.563881
201211,7.757487
201212,8.38422
201301,8.97218
201302,8.007458
201303,8.373339
201304,7.513723
201305,7.604697
201306,7.71526
201307,8.262797
201308,8.161596
201309,7.629752
201310,7.70694
201311,8.119866
201312,9.062839
201401,9.586483
201402,8.42346
201403,8.517475
201404,7.551893
201405,7.643874
201406,7.772385
201407,8.22328
201408,8.198857
201409,7.637999
201410,7.755149
201411,8.192794
201412,8.793278
201501,9.294495
201502,8.607225
201503,8.429971
201504,7.464734
201505,7.642061
201506,7.895194
201507,8.425841
201508,8.308935
201509,7.682857
201510,7.612678
201511,7.672433
201512,8.367728
201601,9.054375
201602,8.22463
201603,7.982819
201604,7.445813
201605,7.576361
201606,7.928654
201607,8.459733
201608,8.530154
201609,7.744049
201610,7.648667
201611,7.711816
201612,9.074257
201701,8.975712
201702,7.621169
201703,8.430375
201704,7.452589
201705,7.793161
201706,7.958659
201707,8.421861
201708,8.292363
201709,7.617954
201710,7.808365
201711,8.097034
201712,9.187345
201801,9.664295
201802,8.063527
201803,8.705319
201804,7.886114
201805,7.986151
201806,8.142886
201807,8.610071
201808,8.689597
201809,7.863383
201810,8.085767
201811,8.515055
201812,9.028026
201901,9.547795
201902,8.391764
201903,8.707932
201904,7.676292
201905,7.952508
201906,7.918254
201907,8.563209
201908,8.566334
201909,7.86733
201910,7.942208
201911,8.396083
201912,8.948229
202001,8.966847
202002,8.360393
202003,7.876849
202004,6.508521
202005,6.821535
202006,7.268462
202007,8.059713
202008,8.006082
202009,7.293286
202010,7.469102
202011,7.575024
202012,8.705941
202101,8.928905
202102,8.139566
202103,8.109947
202104,7.516392
202105,7.721363
202106,8.040753
202107,8.407848
202108,8.518784
202109,7.714912
202110,7.763648
202111,8.135173
202112,8.742943
202201,9.497343
202202,8.45059
202203,8.533378
202204,7.736783
202205,7.925639
202206,8.145026
202207,8.572373
202208,8.518828
202209,7.772714
202210,7.800768
202211,8.273912
202212,9.066264
202301,8.896747
202302,8.018247
202303,8.617804
202304,7.686575
202305,7.872248
